[2025-03-14T02:01:07.532Z] [INFO] Starting n8n node mapping extraction
[2025-03-14T02:01:07.534Z] [INFO] Using n8n nodes directory: /Users/davidrivera/Downloads/n8n-make-converter/n8n/packages/nodes-base/nodes
[2025-03-14T02:01:07.534Z] [INFO] Finding node definition files...
[2025-03-14T02:01:07.600Z] [INFO] Found 512 node definition files
[2025-03-14T02:01:07.600Z] [INFO] Processing node files...
[2025-03-14T02:01:07.601Z] [INFO] Processed priority node: activecampaign
[2025-03-14T02:01:07.601Z] [INFO] Processed priority node: activecampaigntrigger
[2025-03-14T02:01:07.602Z] [INFO] Processed priority node: airtable
[2025-03-14T02:01:07.602Z] [INFO] Processed priority node: airtabletrigger
[2025-03-14T02:01:07.602Z] [INFO] Processed priority node: airtablev1
[2025-03-14T02:01:07.603Z] [INFO] Processed priority node: airtablev2
[2025-03-14T02:01:07.603Z] [INFO] Processed priority node: asana
[2025-03-14T02:01:07.604Z] [INFO] Processed priority node: asanatrigger
[2025-03-14T02:01:07.604Z] [INFO] Processed priority node: awslambda
[2025-03-14T02:01:07.604Z] [INFO] Processed priority node: awssns
[2025-03-14T02:01:07.605Z] [INFO] Processed priority node: awssnstrigger
[2025-03-14T02:01:07.605Z] [INFO] Processed priority node: awscertificatemanager
[2025-03-14T02:01:07.605Z] [INFO] Processed priority node: awscomprehend
[2025-03-14T02:01:07.606Z] [INFO] Processed priority node: awsdynamodb
[2025-03-14T02:01:07.606Z] [INFO] Processed priority node: awselb
[2025-03-14T02:01:07.606Z] [INFO] Processed priority node: awsrekognition
[2025-03-14T02:01:07.606Z] [INFO] Processed priority node: awss3
[2025-03-14T02:01:07.606Z] [INFO] Processed priority node: awss3v1
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: awss3v2
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: awsses
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: awssqs
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: awstextract
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: awstranscribe
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: baserow
[2025-03-14T02:01:07.607Z] [INFO] Processed priority node: bitbuckettrigger
[2025-03-14T02:01:07.608Z] [INFO] Processed priority node: box
[2025-03-14T02:01:07.608Z] [INFO] Processed priority node: boxtrigger
[2025-03-14T02:01:07.608Z] [INFO] Processed priority node: calendlytrigger
[2025-03-14T02:01:07.611Z] [INFO] Processed priority node: clickup
[2025-03-14T02:01:07.611Z] [INFO] Processed priority node: clickuptrigger
[2025-03-14T02:01:07.611Z] [INFO] Processed priority node: coda
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: discord
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: discordv1
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: discordv2
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: dropbox
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: elasticsecurity
[2025-03-14T02:01:07.612Z] [INFO] Processed priority node: elasticsearch
[2025-03-14T02:01:07.613Z] [INFO] Processed priority node: facebookgraphapi
[2025-03-14T02:01:07.613Z] [INFO] Processed priority node: facebooktrigger
[2025-03-14T02:01:07.613Z] [INFO] Processed priority node: facebookleadadstrigger
[2025-03-14T02:01:07.613Z] [INFO] Processed priority node: freshdesk
[2025-03-14T02:01:07.614Z] [INFO] Processed priority node: github
[2025-03-14T02:01:07.614Z] [INFO] Processed priority node: githubtrigger
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: gitlab
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: gitlabtrigger
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: googleads
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: googleanalytics
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: googleanalyticsv1
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: googleanalyticsv2
[2025-03-14T02:01:07.615Z] [INFO] Processed priority node: googlebigquery
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlebigqueryv1
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlebigqueryv2
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlebooks
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlebusinessprofile
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlebusinessprofiletrigger
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlecalendar
[2025-03-14T02:01:07.616Z] [INFO] Processed priority node: googlecalendartrigger
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googlechat
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googlecloudnaturallanguage
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googlecloudstorage
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googlecontacts
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googledocs
[2025-03-14T02:01:07.617Z] [INFO] Processed priority node: googledrive
[2025-03-14T02:01:07.618Z] [INFO] Processed priority node: googledrivetrigger
[2025-03-14T02:01:07.618Z] [INFO] Processed priority node: googledrivev1
[2025-03-14T02:01:07.618Z] [INFO] Processed priority node: googledrivev2
[2025-03-14T02:01:07.618Z] [INFO] Processed priority node: googlefirebasecloudfirestore
[2025-03-14T02:01:07.618Z] [INFO] Processed priority node: googlefirebaserealtimedatabase
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googleperspective
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googlesheets
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googlesheetstrigger
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googlesheetsv1
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googlesheetsv2
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googleslides
[2025-03-14T02:01:07.619Z] [INFO] Processed priority node: googletasks
